GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP21,NHSP_POP21,HSP_POP21,WHT_NHSP21,BLK_NHSP21,AIA_NHSP21,ASN_NHSP21,HPI_NHSP21,OTH_NHSP21,2OM_NHSP21,BLK_ALL21,AIA_ALL21,ASN_ALL21,HPI_ALL21,OTH_ALL21
01001,01, Alabama,001,Autauga County,58239,56464,1775,42571,11464,98,647,0,109,1575,12187,479,1093,0,1080
01003,01, Alabama,003,Baldwin County,227131,216497,10634,187548,19749,1076,2175,9,959,4981,21232,3526,3313,591,7128
01005,01, Alabama,005,Barbour County,25259,24083,1176,11268,11934,71,106,1,229,474,12278,353,164,31,1213
01007,01, Alabama,007,Bibb County,22412,21778,634,16596,4905,21,46,0,18,192,5046,211,61,0,117
01009,01, Alabama,009,Blount County,58884,53272,5612,50595,746,70,216,74,92,1479,1158,967,277,197,2051
01011,01, Alabama,011,Bullock County,10386,9498,888,2116,7164,0,46,0,0,172,7240,16,106,0,512
01013,01, Alabama,013,Butler County,19181,18873,308,9767,8592,47,280,0,8,179,8679,135,300,0,188
01015,01, Alabama,015,Calhoun County,116425,111775,4650,83073,24490,187,868,185,288,2684,26352,1264,1585,349,2761
01017,01, Alabama,017,Chambers County,34834,33888,946,19095,13963,65,358,3,41,363,14158,220,427,3,246
01019,01, Alabama,019,Cherokee County,24975,24533,442,22711,1154,57,27,0,16,568,1347,381,41,20,360
01021,01, Alabama,021,Chilton County,44857,41290,3567,35557,3959,18,210,0,293,1253,4920,1002,260,37,2488
01023,01, Alabama,023,Choctaw County,12792,12654,138,7221,5275,7,15,0,0,136,5350,59,78,0,95
01025,01, Alabama,025,Clarke County,23346,23020,326,12028,10582,25,105,0,150,130,10795,85,134,0,225
01027,01, Alabama,027,Clay County,14184,13741,443,11406,1883,0,35,0,11,406,2108,176,73,0,291
01029,01, Alabama,029,Cleburne County,15046,14648,398,13902,391,21,1,0,36,297,564,128,28,8,315
01031,01, Alabama,031,Coffee County,53043,48761,4282,36675,8579,363,762,6,66,2310,10235,1369,1202,91,1374
01033,01, Alabama,033,Colbert County,56789,55039,1750,44172,9255,197,256,49,83,1027,9662,787,484,58,1535
01035,01, Alabama,035,Conecuh County,11778,11762,16,5901,5664,23,44,0,17,113,5686,69,110,0,25
01037,01, Alabama,037,Coosa County,10442,10168,274,6690,3204,27,0,0,62,185,3221,126,20,0,172
01039,01, Alabama,039,Covington County,37490,36797,693,31060,4621,126,188,32,34,736,4988,484,271,32,249
01041,01, Alabama,041,Crenshaw County,13300,13189,111,9340,3208,17,174,5,0,445,3544,157,179,5,31
01043,01, Alabama,043,Cullman County,87129,83190,3939,79371,978,290,311,9,41,2190,1561,1253,695,90,2897
01045,01, Alabama,045,Dale County,49443,46043,3400,33322,9979,299,598,16,259,1570,11017,1019,1106,84,1476
01047,01, Alabama,047,Dallas County,39162,39110,52,10534,28040,62,249,0,6,219,28197,211,264,0,6
01049,01, Alabama,049,DeKalb County,71554,60716,10838,56982,1114,393,55,46,282,1844,1507,2190,133,59,7977
01051,01, Alabama,051,Elmore County,87146,84467,2679,63634,18060,278,857,0,50,1588,19175,845,982,6,1275
01053,01, Alabama,053,Escambia County,36879,35953,926,22110,11474,1189,92,0,83,1005,12049,2034,112,15,417
01055,01, Alabama,055,Etowah County,103468,99052,4416,79746,15851,190,692,2,198,2373,17448,1404,984,7,3010
01057,01, Alabama,057,Fayette County,16365,16276,89,13722,2086,26,72,8,16,346,2328,139,106,8,67
01059,01, Alabama,059,Franklin County,32034,26209,5825,24284,1373,60,85,5,13,389,1503,636,137,17,4768
01061,01, Alabama,061,Geneva County,26604,25470,1134,21692,2464,140,160,8,474,532,2672,444,160,142,798
01063,01, Alabama,063,Greene County,7851,7650,201,1368,6217,0,0,0,0,65,6387,170,43,0,40
01065,01, Alabama,065,Hale County,14819,14808,11,5681,8740,0,46,0,24,317,8884,0,46,0,227
01067,01, Alabama,067,Henry County,17165,16695,470,11887,4529,34,65,20,0,160,4629,62,91,40,347
01069,01, Alabama,069,Houston County,106355,102657,3698,69415,28864,188,971,18,442,2759,30379,1284,1550,136,1927
01071,01, Alabama,071,Jackson County,52548,50898,1650,46732,1826,464,181,20,75,1600,2170,1655,362,43,979
01073,01, Alabama,073,Jefferson County,672550,645309,27241,330804,287570,662,11219,154,2049,12851,295812,5542,14612,579,17838
01075,01, Alabama,075,Lamar County,13929,13786,143,11975,1549,3,18,0,11,230,1687,92,21,0,31
01077,01, Alabama,077,Lauderdale County,93342,90644,2698,78237,9076,262,471,80,143,2375,10214,950,976,88,1897
01079,01, Alabama,079,Lawrence County,33089,32292,797,25223,3451,1772,50,16,11,1769,3798,3256,145,16,600
01081,01, Alabama,081,Lee County,172223,165676,6547,115552,38004,224,7396,0,440,4060,41190,1722,8313,74,2625
01083,01, Alabama,083,Limestone County,101217,94960,6257,76199,13112,507,1814,77,79,3172,14836,1852,2062,390,4241
01085,01, Alabama,085,Lowndes County,10334,10314,20,2566,7715,0,0,0,0,33,7756,10,0,0,12
01087,01, Alabama,087,Macon County,19490,19387,103,3210,15778,4,32,0,13,350,16038,223,32,0,100
01089,01, Alabama,089,Madison County,382149,362340,19809,244907,91865,1884,9764,203,835,12882,99412,7448,13499,754,10187
01091,01, Alabama,091,Marengo County,19397,18863,534,8659,9941,21,104,0,0,138,10054,177,104,2,262
01093,01, Alabama,093,Marion County,29392,28621,771,26714,1168,71,79,0,0,589,1340,309,119,0,758
01095,01, Alabama,095,Marshall County,97179,82928,14251,77604,2762,182,644,38,133,1565,3255,1651,779,78,5214
01097,01, Alabama,097,Mobile County,414620,402302,12318,233004,148637,2009,8271,71,1292,9018,153813,5855,10373,289,8076
01099,01, Alabama,099,Monroe County,20115,20042,73,10843,8482,308,83,9,0,317,8684,435,123,9,39
01101,01, Alabama,101,Montgomery County,229072,220681,8391,74281,133588,238,7402,16,244,4912,137860,1526,8368,104,4871
01103,01, Alabama,103,Morgan County,122608,111998,10610,91597,15713,428,553,260,256,3191,16907,2618,1099,491,7167
01105,01, Alabama,105,Perry County,8702,8614,88,2558,6033,2,13,0,0,8,6111,4,13,0,10
01107,01, Alabama,107,Pickens County,19240,18249,991,10298,7601,17,8,0,18,307,7967,135,50,31,225
01109,01, Alabama,109,Pike County,33176,32391,785,18458,12082,129,645,0,8,1069,12821,396,818,52,301
01111,01, Alabama,111,Randolph County,21984,21343,641,16453,4080,16,12,0,91,691,4400,209,136,4,309
01113,01, Alabama,113,Russell County,58695,55326,3369,26111,25967,135,647,30,599,1837,27882,837,949,158,2217
01115,01, Alabama,115,St. Clair County,90412,88149,2263,77016,8610,348,498,14,146,1517,9267,707,981,26,1491
01117,01, Alabama,117,Shelby County,220780,207954,12826,168865,27451,448,4232,29,1053,5876,30928,2163,6078,275,8742
01119,01, Alabama,119,Sumter County,12482,12330,152,3100,8880,16,163,0,44,127,8998,90,163,0,114
01121,01, Alabama,121,Talladega County,81850,79846,2004,50831,26254,152,286,19,42,2262,27776,647,696,52,1235
01123,01, Alabama,123,Tallapoosa County,41284,40268,1016,28352,11165,22,85,0,11,633,11414,319,280,12,712
01125,01, Alabama,125,Tuscaloosa County,223945,215103,8842,135591,72091,182,3663,46,185,3345,74169,1614,4562,149,4819
01127,01, Alabama,127,Walker County,65194,63439,1755,57171,3817,88,116,0,301,1946,4513,684,363,114,1805
01129,01, Alabama,129,Washington County,15574,15409,165,10141,3707,1118,18,0,25,400,3917,1334,94,0,25
01131,01, Alabama,131,Wilcox County,10686,10628,58,2856,7571,4,2,0,0,195,7594,36,151,0,0
01133,01, Alabama,133,Winston County,23650,22900,750,22055,217,36,50,16,0,526,342,449,105,16,540
